time,open,high,low,close,Volume,Volume MA
1585252800,6671,6759.5,6664,6744.75,3749625.520375,8167718.209026287
1585256400,6739.25,6771.5,6706.5,6732.25,3491915.52685,8132605.477642538
1585260000,6730.25,6737,6686.75,6720,1546392.448175,7959956.5160175385
1585263600,6713.5,6783,6705,6753.75,5559116.453725,7789745.716406289
1585267200,6753.75,6875,6753.75,6835,21620384.01275,8570880.009678788
1585270800,6836.25,6849,6775.25,6825.5,2675663.8243,8317292.006903788
1585274400,6823,6828.5,6771.75,6804,5403878.612125,7881130.867640039
1585278000,6804,6821.5,6795.75,6813.5,3791373.036425,7639937.139900039
1585281600,6813.5,6849.25,6741.25,6754.75,11999328.106725,7827670.272631289
1585285200,6758,6758.5,6626.5,6666,22677159.824925,8434586.646606289
1585288800,6666,6711.5,6653,6684,4384586.59965,8475784.32202879
1585292400,6684,6744.5,6684,6716,4364247.646,8272318.987535039
1585296000,6714.5,6717,6682,6689,10432277.43415,8049231.058916288
1585299600,6689,6703.5,6654.5,6660.5,5300397.8264,6858751.22902004
1585303200,6660.5,6686,6606.5,6652,9187671.08595,6677155.827045039
1585306800,6652,6707.5,6628.5,6631,6128588.3,6825741.756250039
1585310400,6630.5,6681,6586.5,6643.5,11067626.385675,7087684.014311289
1585314000,6643.5,6654.5,6572,6598.5,13774536.3259,7585414.2800412895
1585317600,6599.5,6636,6584.5,6625.5,2964843.79275,7673141.01643004
1585321200,6623.5,6670,6615,6635,5726330.7723,7792297.17675754
1585324800,6634.5,6683,6591,6650,7828015.98065,7996216.69977129
1585328400,6649.5,6670,6612,6643,7088412.28505,8176041.537681291
1585332000,6644,6668.5,6631,6652.5,2453765.58665,8221410.19460504
1585335600,6652,6706,6645.5,6661.5,15814414.523,8734175.09806879
1585339200,6663.5,6683,6639.5,6680.5,3376094.52845,7821960.623853791
1585342800,6681.5,6708,6663,6682.5,2085663.58635,7792460.611956291
1585346400,6682.5,6684.5,6651,6668.5,1896603.75985,7617096.86934254
1585350000,6668.5,6670,6251,6369,31210215.93265,8988039.01415379
1585353600,6369,6369,6211.5,6315.5,84771891.0645,12626667.16204254
1585357200,6310,6314,6252.5,6279.5,6431466.72685,11814382.50713879
1585360800,6279.5,6288,6236.5,6257,4760482.37175,11833177.29574379
1585364400,6257,6267,6065.5,6118.5,26886425.365525,12959286.18172004
1585368000,6118.5,6205.5,6095,6173,17749729.2987,13325158.77494754
1585371600,6172,6190.5,6146,6166,4005886.40345,13260433.20380004
1585375200,6164.5,6178.5,6125,6169.5,4753769.3486,13038738.11693254
1585378800,6170,6202.5,6170,6194.5,5198045.94605,12992210.999235038
1585382400,6194.5,6291,6177,6270,14676757.4133,13172667.550616289
1585386000,6269.5,6300,6242.5,6262,7078871.09905,12837884.289273787
1585389600,6262,6290,6220.5,6266,10002934.15475,13189788.807373788
1585393200,6266,6333,6224.5,6238.5,17168016.4797,13761873.092743788
1585396800,6238,6262.5,6210,6240.5,5221010.15705,13631522.801563788
1585400400,6240.5,6252,6161,6228,10356805.31035,13794942.45282879
1585404000,6228,6260,6227,6249.5,5250849.0249,13934796.62474129
1585407600,6249.5,6284,6217.5,6222,5430350.40555,13415593.41886879
1585411200,6220,6250.5,6201.5,6239,4311193.68635,13462348.376763787
1585414800,6239,6247.5,6021.5,6025,29350787.57405,14825604.576148788
1585418400,6021.5,6272,6021.5,6167.5,39454824.77645,16703515.626978785
1585422000,6167.5,6240,6167.5,6218.5,10085048.37905,15647257.249298787
1585425600,6219,6305.5,6218.5,6251.5,19846881.0079,12401006.746468786
1585429200,6254.5,6270.5,6164.5,6227.5,6678828.34125,12413374.827188786
1585432800,6227.5,6255.5,6176,6220,5570058.68355,12453853.642778788
1585436400,6220,6280,6188.5,6244,5004066.99445,11359735.724225037
1585440000,6244,6272,6197,6218,9616012.0409,10953049.861335035
1585443600,6218,6238,6195.5,6225,2034259.88145,10854468.535235036
1585447200,6225,6238,6206,6210.5,447870.58515,10639173.597062536
1585450800,6210.5,6225,6187,6215,2442716.56115,10501407.127817538
1585454400,6214,6221.5,6192,6213,1630702.88465,9849104.401385035
1585458000,6213,6213,6151,6154,6850714.6767,9837696.580267537
1585461600,6151,6171.5,6134.5,6156.5,7201628.042,9697631.274630036
1585465200,6156,6175,6118,6157,5038261.8151,9091143.541400038
1585468800,6157,6159.5,6091.5,6136,5476452.47915,9103915.657505037
1585472400,6136,6139.5,6081.5,6089.5,3264399.3909,8749295.361532535
1585476000,6089.5,6220,6089.5,6178.5,12901726.05875,9131839.213225037
1585479600,6178.5,6196,6136,6143,4956750.9472,9108159.240307536
1585483200,6143,6160,6053.5,6132,12457425.3975,9515470.825865038
1585486800,6130.5,6145,6105,6130,3316598.3123,8213761.362777537
1585490400,6130,6158.5,6110.5,6148,6397912.56225,6560915.752067536
1585494000,6148,6151,6117,6133,3863843.78015,6249855.522122536
1585497600,6133,6170.5,6048,6087,17295014.49555,6122262.196505035
1585501200,6087.5,6126.5,6057,6109,6398072.874,6108224.423142536
1585504800,6107.5,6108.5,6060,6066,4897024.2017,6074572.699050035
1585508400,6066,6092.5,5877.5,5903.5,34026208.1287,7525679.755762535
1585512000,5904.5,5965.5,5864,5945,14451897.88225,7767474.047830036
1585515600,5948.5,5948.5,5889.5,5890.5,4856343.4513,7908578.226322536
1585519200,5895,5941,5863,5910.5,5220117.8818,8147190.591155035
1585522800,5910.5,5927,5866.5,5872.5,2199057.1773,8135007.621962535
1585526400,5872,5916,5850,5898,38386029.70959999,9972773.963210035
1585530000,5898,5945.5,5891,5940,2386655.98225,9749571.028487535
1585533600,5940,6025,5939.5,5989,9040289.99605,9841504.126190035
1585537200,5989,6011,5980.5,6008.5,3437979.79065,9761490.024967534
1585540800,6010,6049.5,5995.5,6037,9409103.5952,9958122.580770034
1585544400,6037,6264.5,6037,6209,31239480.094,11356876.615925036
1585548000,6208,6260.5,6180,6227.5,12369662.54895,11330273.440435035
1585551600,6227,6350,6224.5,6249.5,57240752.8527,13944473.535710037
1585555200,6249.5,6306.5,6241,6279,15129850.33185,14078094.782427538
1585558800,6280.5,6292,6245,6256,8227005.2822,14323615.130922535
1585562400,6256,6326,6256,6288,4370370.6987,14222238.037745034
1585566000,6288,6424.5,6279.5,6369,25545134.57175,15306302.577325035
1585569600,6369,6390,6290.5,6319,9491920.52275,14916147.878685037
1585573200,6316,6357,6313,6313.5,4620931.99165,14827290.834567536
1585576800,6313.5,6348,6269,6337,10363701.9058,15100624.719772536
1585580400,6338.5,6468,6326.5,6349.5,18452412.96705,14321934.961690035
1585584000,6349.5,6394,6308.5,6383,14733825.15715,14336031.325435033
1585587600,6383,6385,6335.5,6359,7718719.03105,14479150.104422534
