time,open,high,low,close,Volume,Volume MA
1390867200,748.1,814.5,741.214,784.69,12323.02042267,8171.421315802986
1390953600,784.42,805,781.8,794.731,3693.85073042,7583.481795196485
1391040000,794.74,812.65489,770,803.0101,8227.92232393,7601.663605601485
1391126400,802.5,809.6746,793,805.22,3845.2661045,7236.388127603485
1391212800,804.8,829,801,812.6,4683.98258736,6930.207282895484
1391299200,812.6,827.2,811,814,3020.76446783,6400.728181075985
1391385600,812.05,815.2,798.5,805.31499,3441.93276014,6352.833831874985
1391472000,805.31499,814.4,795.2,800.01,3356.81323316,6158.647363684985
1391558400,800.03,807.48,777.85,780,5899.29344507,6229.028557027485
1391644800,784,829,678.03,761,20666.9490553,6709.024457183485
1391731200,760.61,763.07,620,700.5,44285.09166408,8739.016223192486
1391817600,707.8,723.97,667,678,9871.90444152,8871.801649204985
1391904000,678,728.8993498,666.53,694,11875.09587105,9215.649293575485
1391990400,693.5,703,100,687.05035,43220.4754362,11235.131402141486
1392076800,689.13,721.35,631.2,678,38957.64168842,13041.088621491486
1392163200,675.31,682.5,642,656.01,12016.6556998,13496.778963038485
1392249600,656.01,658.9899,601.2,606.01,18086.85902851,13829.541982187486
1392336000,607,710,535,661.13,53159.67713431,16260.831964784486
1392422400,661.13,668.4,633.3,654.99,10455.89627107,16408.389115598486
1392508800,652.5,670.9999,585,625,16919.62762211,16400.435999372487
1392595200,625,664,611,633.99,15491.52083654,16558.861020065986
1392681600,633.51,651.3,611.304999,628.1999,8419.17553782,16795.127260435987
1392768000,625.81,636.85,617.89,627.45,4663.93948001,16616.928118239986
1392854400,627.45,629,541.2,542.42,29093.44196446,17879.336911237988
1392940800,542.42,588.489697,530,579.98,25206.63983971,18905.46977385549
1393027200,579.9,619,562,614.389,14483.11957485,19478.58752920649
1393113600,614.389,644.93,600.2,607,17310.7608778,20172.02893508949
1393200000,606.9999,608.4,505.7511,517.87,38797.41896131,21944.059221496987
1393286400,519,549,400,544.24,88914.82576672,26094.835837579485
1393372800,542.01,609,541,597.6001,38049.58520196,26963.96764491249
1393459200,597.7001,599,568.75,584.3339,10818.5253478,25290.63932909849
1393545600,585.2928,591.18,540.2044,549.995,16312.37393607,25612.662803825988
1393632000,549.01,577.25,541.1,570,7572.00901282,25397.50846091449
1393718400,569.31874,572.24,555.161,565.37191,3078.28656849,23390.399017528987
1393804800,566,719.25,563,680.98,50919.54169293,23988.49401775449
1393891200,680.98,703.85,658.5,672,25025.60816184,24638.94164085649
1393977600,673.26,678.9999,651.21,669.61,8381.31800007,24153.66458943449
1394064000,669.61,676.43,648.7,668,7057.99015505,21848.58024047149
1394150400,667,669,616.23,631.01,17234.69628243,22187.520241039492
1394236800,633,639.999,600.6,616.8001,10971.43740527,21890.11073019749
1394323200,616.9,654.999,610.25,638.5,8290.10866798,21530.040121769493
